Precinct,DallasCo_A,CONG_C2193,HOUSE_H231,SEN_S2168,SBOE_E2106,DallasCo_1,Shape_Leng,Shape_Area,Registered,Beckley Votes,Collier Votes,Total Votes,Collier Margin
1732,1,5,102,2,9,2,14516.95465,10753746.4,1446,35,14,77,-21
1004,1,32,102,16,9,3,16726.07944,16474411.08,1650,38,99,160,61
1733,1,5,102,2,9,2,20573.25285,27371862.66,3608,62,80,201,18
1006,1,24,108,16,9,3,15200.56796,11432544.38,1661,36,118,182,82
1727,1,5,107,2,9,2,9919.322487,3702659.113,242,4,5,11,1
1007,1,24,108,16,9,3,18012.44478,13353954.12,391,12,26,40,14
1702,1,5,107,2,9,2,30272.33313,37505218.94,2947,48,60,182,12
1039,1,32,102,16,9,3,5087.338646,1407893.512,299,11,10,28,-1
1713,1,5,107,2,9,2,18352.95037,15279426.34,1162,13,12,36,-1
1040,1,32,102,16,9,3,22436.17023,13912212.69,3005,65,98,216,33
1714,1,5,107,2,9,2,33302.65682,29819704.89,2066,27,36,91,9
1041,1,32,102,16,9,3,9974.894338,4117808.098,1000,10,9,27,-1
1719,1,5,107,2,9,2,42862.53688,22538545.35,2711,46,42,137,-4
1043,1,24,102,16,9,3,19626.34037,17102830.76,2319,54,121,211,67
1710,1,5,107,2,9,2,22315.6571,21955368.1,1638,39,27,118,-12
1044,1,24,108,16,9,3,20310.67981,18522469.87,2959,70,158,280,88
1700,1,5,107,2,9,2,21601.59081,28622218.24,2342,34,37,103,3
1045,1,32,114,16,9,3,17514.1899,11279462.32,2082,40,36,111,-4
1712,1,5,107,2,9,2,21430.65067,28074943.85,2214,42,55,134,13
1046,1,32,114,16,9,3,8589.46675,3467326.159,331,13,19,41,6
1708,1,5,107,2,9,2,20187.22796,18404210.31,732,15,24,59,9
1047,1,32,114,16,9,3,26010.1565,22686526.2,1491,44,53,136,9
1711,1,5,107,2,9,2,21472.47602,28772848.18,2310,27,30,89,3
1048,1,32,114,23,9,3,20001.36354,21505163.13,2703,101,239,410,138
1728,1,5,107,2,9,2,23460.13494,17814270.72,1449,26,29,75,3
1049,1,32,108,16,9,3,23916.34118,19452168.22,1925,48,111,183,63
1726,1,5,107,2,9,2,25230.95233,32927497.07,1905,41,41,115,0
1050,1,32,114,23,13,3,10044.72961,4461958.19,162,8,15,25,7
1725,1,5,107,2,9,2,11132.84477,6004179.334,505,18,20,50,2
1051,1,32,114,23,9,3,28398.88597,16578583.89,211,10,17,40,7
1701,1,5,107,2,9,2,26072.38861,34119135.09,2151,39,28,116,-11
1052,1,32,114,23,9,3,28167.88586,28632787.29,3462,157,272,525,115
1718,1,5,107,2,9,2,24669.66335,16218760.2,1570,41,31,97,-10
1054,1,32,107,16,13,3,16373.65634,14289285.76,1623,37,43,110,6
1720,1,5,107,2,9,2,26905.80396,25517737.06,2785,79,75,237,-4
1055,1,32,107,16,13,3,18084.27608,15607864.91,884,15,18,43,3
1311,1,5,107,16,13,2,31203.94516,49330539.98,2288,30,57,130,27
1056,1,32,107,16,13,2,13937.1151,9921913.923,1052,26,38,85,12
1312,1,5,107,16,13,2,16127.71131,14305298.44,1090,20,10,51,-10
1057,1,32,107,16,13,2,19036.61245,17253707.19,2061,50,73,167,23
